3 177
 1 41 88
 80 99 35
 6 76 28
 37 46 19
 48 99 90
 98 12 32
 47 36 16
 94 14 74
 79 40 88
 86 83 38
 40 70 63
 69 57 10
 78 52 47
 75 82 65
 51 63 13
 66 40 97
 31 55 76
 56 63 98
 48 1 45
 67 30 64
 67 60 47
 73 55 71
 37 52 60
 42 1 62
 2 15 6
 24 57 11
 95 81 56
 28 27 35
 17 66 52
 98 23 42
 76 48 60
 83 8 98
 84 19 67
 26 93 20
 60 54 75
 50 94 3
 93 15 2
 94 7 30
 25 75 5
 57 95 36
 11 65 85
 83 49 5
 67 28 53
 31 63 50
 75 50 97
 87 14 34
 54 71 59
 30 16 33
 82 46 3
 5 22 73
 30 67 11
 29 1 91
 30 44 31
 66 8 95
 37 64 21
 28 82 98
 70 22 92
 47 31 28
 64 65 100
 70 74 49
 59 77 45
 79 44 100
 59 84 54
 18 79 43
 91 7 6
 76 48 80
 33 84 48
 74 87 15
 35 94 12
 59 33 62
 7 82 79
 75 98 51
 62 13 72
 87 3 59
 2 78 9
 26 48 33
 47 29 4
 16 71 27
 93 100 56
 55 64 34
 34 40 82
 76 39 23
 15 70 37
 10 44 7
 77 92 37
 60 8 87
 42 81 69
 52 3 74
 57 6 34
 99 52 31
 83 53 55
 16 52 65
 16 88 4
 77 83 35
 4 23 51
 3 86 3
 11 61 35
 18 5 38
 25 70 38
 4 41 85
 63 20 71
 71 39 14
 36 35 70
 52 26 76
 48 59 1
 84 35 47
 82 49 64
 34 23 75
 24 63 59
 74 94 54
 99 20 62
 94 69 6
 31 75 46
 85 98 87
 52 56 86
 55 47 6
 63 33 68
 43 62 58
 22 98 64
 85 16 91
 98 81 6
 7 93 100
 24 79 77
 25 42 75
 37 87 68
 98 82 68
 72 14 40
 87 33 16
 64 14 56
 86 36 34
 47 83 94
 7 69 81
 35 48 58
 97 86 43
 3 42 89
 69 82 59
 2 74 98
 3 6 29
 47 1 18
 69 36 82
 96 54 63
 61 48 29
 69 16 94
 67 39 85
 60 37 39
 60 52 26
 81 97 9
 72 98 80
 100 10 26
 96 28 61
 60 96 96
 92 19 17
 98 85 70
 76 69 51
 10 9 62
 52 68 36
 37 91 88
 7 58 70
 62 64 34
 4 63 12
 51 27 31
 80 34 49
 5 42 43
 81 35 63
 69 12 7
 31 21 64
 23 72 3
 42 28 5
 13 46 22
 24 10 51
 8 82 28
 87 36 37
 61 31 28
 92 52 18
 16 66 51
 19 66 70
 60 54 86
 28 39 79
 40 288 110 60 195 136 216 133 71 283 62 297 84 243 86 85 288 105 140 267 139 228 115 290 77 179 245 89 127 107 265 260 60 63 228 34 184 117 171 51 92 3 138 225 109 261 171 119 9 123 1 83 20 195 272 238 27 10 145 138 152 225 2 217 152 231 117 66 241 170 129 131 68 263 69 37 60 118 167 63 200 12 24 227 151 270 99 196 218 120 283 251 285 38 271 268 282 216 229 130 56 3 15 287 13 35 160 92 70 233 294 111 99 120 37 156 73 172 162 116 162 73 28 68 148 289 210 253 75 15 225 105 136 139 220 238 270 265 166 230 90 273 105 87 81 37 110 155 41 244 186 217 56 35 43 246 252 6 3 7 292 65 251 56 153 46 246 14 98 63 296 216 116 4 226 53 205
